Country,Continent ,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
Nigeria,Africa,4.709745884,4.890419483,4.938560486,4.980220318,4.760275841,5.492954254,4.81786871,4.932914734,5.219567776,5.321928024,5.155,5.265,4.724100113,4.759,4.552,
Mali,Africa,4.014075756,4.114664078,3.976598501,3.762305021,4.666832924,4.313016891,3.676277161,3.974714279,4.582098484,4.016027927,4.447,4.39,4.729300022,4.723,4.479,
Iran,Middle East,5.308190346,5.336371422,5.128988266,4.767507076,4.608927727,5.139579296,4.682224274,4.749955654,4.652730942,4.716783047,4.707,4.548,4.672399998,4.721,4.888,
Uganda,Africa,3.733583927,4.45583868,4.568619251,4.611985683,4.192882061,4.826001167,4.309237957,3.709578753,3.769919157,4.237686634,4.161,4.189,4.43200016,4.636,4.603,
Liberia,Africa,3.701401234,4.221354008,4.196063042,4.571419239,2.701591253,3.354676008,4.424490929,5.754394054,5.615404606,5.43358326,3.495,3.975,4.557899952,4.625,5.122,
Kenya,Africa,4.223234177,4.575657845,4.015274525,4.270434856,4.255859375,4.405310154,4.547335148,3.795383215,4.904579639,4.357617855,4.41,4.509,4.583000183,4.607,4.543,
Tunisia,Africa,5.025470257,5.130520821,4.87648201,4.463531017,5.245604992,4.763594627,5.131611824,4.521453381,4.124342918,4.718733788,4.592,4.461,4.392199993,4.596,4.516,
Lebanon,Middle East,5.49124527,4.653103828,4.594851017,5.205998898,5.031899452,5.187571526,4.572566986,4.983288765,5.233025551,5.171971321,5.358,5.197,4.771500111,4.584,2.955,
Namibia,Africa,4.885587215,4.573991299,4.441306114,4.566594601,4.74828434,4.440526485,4.91686821,4.349675179,3.809444666,4.233244896,4.441,4.639,4.571100235,4.574,4.459,
Palestinian Territories,Middle East,4.716387749,4.151053905,4.385603428,4.470191479,4.702603817,4.751219749,4.646608353,4.844027996,4.721938133,4.695239067,4.743,4.696,4.552800179,4.517,4.483,
Myanmar,Asia,4.438939571,4.175670624,4.786247253,4.223846436,4.623119831,4.154341698,4.885587215,4.573991299,4.441306114,4.566594601,4.308,4.36,4.308000088,4.426,4.394,
Jordan,Middle East,6.294660091,5.59805727,4.930058002,5.999859333,5.569942474,5.539327621,5.131996155,5.171952724,5.333021641,5.404593468,5.161,4.906,4.633399963,4.395,4.152,
Chad,Africa,3.434800625,4.141326904,4.632468224,3.639445066,3.742871046,4.393482208,4.03297472,3.507663012,3.460182905,4.322675228,4.301,4.35,4.422699928,4.355,4.251,
Sri Lanka,Asia,4.344610691,4.414805412,4.430846214,4.212026596,3.976905107,4.180569172,4.224593163,4.364694118,4.267932892,4.611606598,4.471,4.366,4.327000141,4.325,4.362,
Egypt,Africa,5.167754173,5.540510654,4.631741047,5.066164494,4.668916225,4.174158573,4.204156876,3.558520317,4.885072708,4.762538433,4.419,4.166,4.151400089,4.283,4.288,
Ethiopia,Africa,4.561168671,4.44482708,4.506646633,4.573154926,4.297848701,4.180315495,7.672449112,7.67062664,7.393264294,7.354225159,4.35,4.286,4.186200142,4.275,4.241,
Mauritania,Africa,4.149043083,4.248075008,4.500431538,4.772306919,4.784804344,4.673203945,4.199015141,4.482805252,3.922664165,4.472149372,4.356,4.49,4.374599934,4.227,4.153,
Madagascar,Africa,3.979751348,4.640079021,4.381415367,3.550609589,3.815607071,3.675626993,3.592514038,3.663085938,4.078620434,3.829868078,3.774,3.933,4.165599823,4.208,4.339,
Togo,Africa,3.202429295,2.807855129,2.936220884,2.83895874,3.768301964,3.878578424,4.360805035,5.832188606,6.696444035,6.518745899,3.999,4.085,4.187200069,4.107,4.112,
Zambia,Africa,4.824454784,3.998293161,4.730263233,5.260360718,4.99911356,5.013374805,5.243995667,4.345837116,4.843164444,4.347543716,4.377,4.107,3.759399891,4.073,3.76,
Sierra Leone,Africa,3.628185034,3.585127354,2.997251034,4.133955956,4.501643658,4.514291286,4.499970436,4.908617973,4.732953072,4.089562416,4.571,4.374,3.926399946,3.849,3.574,
India,Asia,5.348258972,5.02679348,5.145833015,4.521517754,4.989277363,4.634871483,4.720146656,4.427788734,4.424379349,4.342079163,4.19,4.015,3.573299885,3.819,3.777,
Burundi,Africa,3.563227654,3.791680813,3.705894232,2.904535055,3.568744659,4.15597105,4.462163925,4.110625744,4.141072273,4.161225319,2.905,3.775,3.775300026,3.775,3.853,
Yemen,Middle East,4.477132797,4.809258938,4.35031271,3.746255636,4.060600758,4.217678547,3.967957973,2.982673883,3.825630903,3.253560066,3.355,3.38,3.527400017,3.658,4.197,
Tanzania,Africa,3.922484159,4.317949772,4.384741783,3.407507896,3.229129076,4.073562145,4.006897449,3.852394819,3.483278513,3.660597324,3.303,3.231,3.476200104,3.623,3.702,
Haiti,South America,3.754156113,3.846329212,3.76599884,4.844573975,4.413475037,4.62196207,3.888778448,3.569762468,3.352300167,3.823865652,3.582,3.597,3.720799923,3.615,3.709,
Malawi,Africa,3.829868078,4.89103651,5.148239613,3.946062565,4.279269695,4.035084248,4.563080311,3.86763835,3.476492643,3.416862965,3.587,3.41,3.538000107,3.6,3.75,
Lesotho,Africa,4.89751482,3.808204889,3.701401234,4.221354008,4.196063042,4.571419239,2.701591253,3.354676008,4.424490929,5.754394054,3.808,3.802,3.652800083,3.512,3.512,
Botswana,Africa,4.739367008,5.451147079,3.553020239,3.519921064,4.835938931,4.128298759,4.031197071,3.761964798,3.498936653,3.504881144,3.59,3.488,3.478899956,3.467,3.471,
Rwanda,Africa,4.21470356,4.362988949,4.029761791,4.097435951,3.333047867,3.466387749,3.595678329,3.483108997,3.332989931,7.079644203,3.408,3.334,3.312299967,3.415,3.268,
Zimbabwe,Africa,3.826268435,3.280246735,3.174263716,4.055914402,4.681569576,4.845641613,4.955100536,4.690187931,4.184450626,3.70319128,3.692,3.663,3.299200058,3.145,2.995,
